epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,11474.7,0.47593,0.33035,0.90024,0.99901,0.99725,0.995,0.96632,0.34682,0.26857,1.06831,0.000367365,0.000367365,0.000367365
65,11629.4,0.45819,0.3252,0.89511,0.99907,0.99682,0.995,0.9669,0.34417,0.27042,1.06134,0.000346736,0.000346736,0.000346736
66,11785.6,0.4693,0.32378,0.89103,0.99864,0.99451,0.99497,0.96859,0.35133,0.28358,1.08011,0.000326107,0.000326107,0.000326107
67,11943,0.4547,0.32615,0.89247,0.99612,0.99725,0.99497,0.97718,0.30168,0.26283,1.0611,0.000305478,0.000305478,0.000305478
68,12098,0.44313,0.31458,0.88962,0.9987,0.99725,0.995,0.97934,0.30361,0.26632,1.06641,0.000284849,0.000284849,0.000284849
69,12255.1,0.44517,0.31434,0.88527,0.99898,0.99725,0.995,0.95843,0.37146,0.29286,1.08062,0.00026422,0.00026422,0.00026422
70,12413.9,0.42572,0.30268,0.88148,0.99907,0.99725,0.995,0.96645,0.32225,0.25357,1.05428,0.00024359,0.00024359,0.00024359
71,12565.6,0.31605,0.21508,0.83469,0.99899,0.99725,0.995,0.97132,0.30772,0.25937,1.04819,0.000222961,0.000222961,0.000222961
72,12714,0.30698,0.21561,0.83866,0.99888,0.99725,0.995,0.97846,0.27975,0.24708,1.04224,0.000202332,0.000202332,0.000202332
73,12864.2,0.2752,0.20174,0.82125,0.99845,0.99703,0.995,0.97856,0.29317,0.26826,1.06034,0.000181703,0.000181703,0.000181703
74,13016.5,0.26685,0.19308,0.82536,0.99876,0.99725,0.995,0.9832,0.28832,0.28208,1.05668,0.000161074,0.000161074,0.000161074
75,13170.6,0.25888,0.19194,0.82098,0.99902,0.99725,0.995,0.98184,0.29531,0.26097,1.05777,0.000140445,0.000140445,0.000140445
76,13321.6,0.25706,0.1928,0.81791,0.99838,0.99716,0.995,0.98326,0.28871,0.27013,1.05424,0.000119816,0.000119816,0.000119816
77,13472.4,0.24451,0.18648,0.81649,0.99842,0.99711,0.995,0.98389,0.27775,0.26036,1.04922,9.91865e-05,9.91865e-05,9.91865e-05
78,13626.4,0.23476,0.18009,0.81403,0.99891,0.99725,0.995,0.98771,0.254,0.23007,1.0387,7.85574e-05,7.85574e-05,7.85574e-05
79,13781.6,0.23208,0.17775,0.8054,0.99868,0.99725,0.995,0.98929,0.2415,0.24348,1.03718,5.79283e-05,5.79283e-05,5.79283e-05
80,13937.6,0.22562,0.17684,0.81749,0.99867,0.99725,0.995,0.988,0.24784,0.24151,1.03977,3.72991e-05,3.72991e-05,3.72991e-05
